par_state,par_county,kid_race,par_pctile,shrunk_xkid_delinq90_02020,county_name
1,39,Hispanic,25,.5196,Covington
1,39,Pooled,25,.6154849462365591,Covington
1,39,Black,50,.7645,Covington
1,39,AIAN,25,.5881999999999999,Covington
1,39,Asian,25,.2821,Covington
1,39,Black,-9,.8104771428571429,Covington
1,39,Hispanic,50,.3268,Covington
1,41,Black,-9,.721425641025641,Crenshaw
1,41,Pooled,25,.6061329545454545,Crenshaw
1,41,Black,75,.6293,Crenshaw
1,41,White,75,.3258,Crenshaw
1,41,Pooled,75,.3809818181818182,Crenshaw
1,41,Pooled,-9,.5310825757575758,Crenshaw
1,41,White,25,.5305,Crenshaw
1,41,Pooled,50,.4935573863636363,Crenshaw
1,41,Black,50,.6872499999999999,Crenshaw
1,41,White,50,.42815,Crenshaw
1,41,Black,25,.7452,Crenshaw
1,41,White,-9,.4512612903225807,Crenshaw
1,43,Black,75,.5843,Cullman
1,43,Asian,-9,.2447,Cullman
1,43,Black,25,.7575,Cullman
1,43,White,50,.46435,Cullman
1,43,Pooled,25,.5852221854304636,Cullman
1,43,Black,-9,.6709000000000001,Cullman
1,43,Hispanic,25,.554,Cullman
1,43,AIAN,75,.451,Cullman
1,43,Pooled,50,.4664289280810854,Cullman
1,43,White,75,.3426,Cullman
1,43,White,25,.5861,Cullman
1,43,AIAN,-9,.5835,Cullman
1,43,White,-9,.4847778523489933,Cullman
1,43,Pooled,-9,.485441933418694,Cullman
1,43,Hispanic,50,.48245,Cullman
1,43,Pooled,75,.3476356707317073,Cullman
1,43,Asian,50,.2447,Cullman
1,43,Hispanic,-9,.48245,Cullman
1,43,AIAN,25,.716,Cullman
1,43,Black,50,.6709000000000001,Cullman
1,43,AIAN,50,.5835,Cullman
1,43,Asian,25,.2081,Cullman
1,43,Asian,75,.2813,Cullman
1,43,Hispanic,75,.4109,Cullman
1,45,Pooled,25,.6287346765641569,Dale
1,45,Asian,25,.2206,Dale
1,45,Pooled,-9,.5038374011299436,Dale
1,45,Black,25,.7695,Dale
1,45,White,25,.5662,Dale
1,45,Black,75,.6025,Dale
1,45,Hispanic,25,.6016,Dale
1,45,AIAN,50,.5752999999999999,Dale
1,45,Asian,50,.2203,Dale
1,45,White,75,.3299,Dale
1,45,Asian,-9,.2203,Dale
1,45,AIAN,25,.6646,Dale
1,45,AIAN,75,.486,Dale
1,45,AIAN,-9,.5753,Dale
1,45,Pooled,75,.3614212817412334,Dale
1,45,Hispanic,-9,.4916517857142858,Dale
1,45,Hispanic,50,.46775,Dale
1,45,White,-9,.4385217741935484,Dale
1,45,Black,-9,.7286197916666666,Dale
1,45,White,50,.4480500000000001,Dale
1,45,Black,50,.6859999999999999,Dale
1,45,Hispanic,75,.3339,Dale
1,45,Pooled,50,.4950779791526952,Dale
1,45,Asian,75,.22,Dale
1,47,Asian,-9,.2581,Dallas
1,47,Hispanic,50,.6486499999999999,Dallas
1,47,White,25,.5568,Dallas
1,47,Hispanic,25,.7844,Dallas
1,47,Black,50,.72855,Dallas
1,47,Asian,75,.2521,Dallas
1,47,Hispanic,75,.5129,Dallas
1,47,Black,-9,.7834176470588237,Dallas
1,47,Pooled,25,.7417759815242495,Dallas
1,47,Black,25,.8003,Dallas
1,47,Pooled,75,.4162871657754011,Dallas
1,47,White,-9,.4294891304347825,Dallas
1,47,Pooled,-9,.6436043548387097,Dallas
1,47,White,50,.44835,Dallas
1,47,White,75,.3399,Dallas
1,47,Asian,50,.2581,Dallas
1,47,Hispanic,-9,.6486499999999999,Dallas
1,47,Black,75,.6568000000000001,Dallas
1,47,Asian,25,.2641,Dallas
1,47,Pooled,50,.5790315736498253,Dallas
1,49,Asian,50,.4302,DeKalb
1,49,White,-9,.4938804347826087,DeKalb
1,49,Hispanic,25,.5637,DeKalb
1,49,AIAN,25,.4866,DeKalb
1,49,White,75,.3324,DeKalb
1,49,Asian,25,.4465,DeKalb
1,49,AIAN,-9,.4081,DeKalb
1,49,Pooled,25,.5832199372056516,DeKalb
1,49,Pooled,75,.3397353424657534,DeKalb
1,49,Pooled,50,.4614776398357024,DeKalb
1,49,Pooled,-9,.4945254491017965,DeKalb
1,49,Hispanic,75,.3694,DeKalb
1,49,Hispanic,50,.46655,DeKalb
1,49,Black,-9,.6689499999999999,DeKalb
1,49,White,25,.5842000000000001,DeKalb
1,49,Black,50,.6689499999999999,DeKalb
1,49,White,50,.4583,DeKalb
1,49,Black,25,.8004,DeKalb
1,49,Black,75,.5375,DeKalb
1,49,Hispanic,-9,.5008382352941175,DeKalb
1,49,Asian,75,.4139,DeKalb
1,49,Asian,-9,.4302,DeKalb
1,49,AIAN,75,.3296,DeKalb
1,49,AIAN,50,.4081,DeKalb
1,51,Asian,25,.6391,Elmore
1,51,White,25,.5745,Elmore
1,51,Pooled,25,.6398531356898517,Elmore
1,51,Black,75,.6131,Elmore
1,51,White,50,.46135,Elmore
1,51,White,75,.3482,Elmore
1,51,Pooled,75,.3648449673202614,Elmore
1,51,AIAN,75,.4454,Elmore
1,51,AIAN,50,.55375,Elmore
1,51,Pooled,-9,.5117281364190012,Elmore
1,51,Hispanic,75,.461,Elmore
1,51,White,-9,.4507421875,Elmore
1,51,Asian,50,.5342,Elmore
1,51,Hispanic,-9,.5738,Elmore
1,51,AIAN,25,.6621,Elmore
1,51,Pooled,50,.5023490515050566,Elmore
1,51,Black,25,.7776999999999999,Elmore
1,51,Black,50,.6954,Elmore
1,51,Hispanic,50,.5738,Elmore
1,51,Hispanic,25,.6866,Elmore
1,51,Asian,-9,.5342,Elmore
1,51,Asian,75,.4293,Elmore
1,51,AIAN,-9,.5537500000000001,Elmore
1,51,Black,-9,.7573922077922078,Elmore
1,53,Pooled,50,.5443383753127606,Escambia
1,53,Black,50,.7454499999999999,Escambia
1,53,Black,25,.7997,Escambia
1,53,Asian,75,.3462,Escambia
1,53,AIAN,25,.5271,Escambia
1,53,Pooled,-9,.589739268292683,Escambia
1,53,Pooled,25,.6822225688073394,Escambia
1,53,AIAN,-9,.4878,Escambia
1,53,Black,75,.6912,Escambia
1,53,White,25,.5966,Escambia
1,53,Hispanic,-9,.6332000000000001,Escambia
1,53,Black,-9,.7910199999999999,Escambia
1,53,Asian,50,.4066,Escambia
1,53,Hispanic,25,.7983,Escambia
1,53,White,-9,.5007961538461539,Escambia
1,53,White,75,.38,Escambia
1,53,Hispanic,50,.6332,Escambia
1,53,AIAN,75,.4485,Escambia
1,53,Hispanic,75,.4681,Escambia
1,53,White,50,.4883,Escambia
1,53,Asian,25,.467,Escambia
1,53,AIAN,50,.4878,Escambia
1,53,Pooled,75,.4064541818181818,Escambia
1,53,Asian,-9,.4066,Escambia
1,55,Black,-9,.7579004784688995,Etowah
1,55,Black,25,.7827,Etowah
1,55,Hispanic,75,.5004999999999999,Etowah
1,55,White,-9,.4973010101010101,Etowah
1,55,AIAN,75,.4409,Etowah
1,55,Hispanic,25,.6197,Etowah
1,55,White,75,.3504,Etowah
1,55,Black,75,.6498,Etowah
1,55,Asian,25,.293,Etowah
1,55,White,50,.48025,Etowah
1,55,Asian,-9,.2828,Etowah
1,55,AIAN,-9,.59895,Etowah
1,55,Hispanic,-9,.578921052631579,Etowah
1,55,Hispanic,50,.5601,Etowah
1,55,AIAN,25,.757,Etowah
1,55,Pooled,25,.6484493670886076,Etowah
1,55,AIAN,50,.59895,Etowah
1,55,Pooled,-9,.5419632901134522,Etowah
1,55,Asian,75,.2726,Etowah
1,55,Asian,50,.2828,Etowah
1,55,Pooled,75,.3766731127197518,Etowah
1,55,Pooled,50,.5125612399041797,Etowah
1,55,White,25,.6101,Etowah
1,55,Black,50,.7162500000000001,Etowah
1,57,Hispanic,25,.74,Fayette
1,57,White,-9,.48418,Fayette
1,57,White,50,.4531000000000001,Fayette
1,57,White,25,.6085,Fayette
1,57,Black,75,.7146,Fayette
1,57,Pooled,25,.6454401960784314,Fayette
1,57,Pooled,75,.3430276923076923,Fayette
1,57,Hispanic,75,.3047,Fayette
1,57,Hispanic,50,.52235,Fayette
1,57,Black,25,.7992,Fayette
1,57,Black,-9,.774525,Fayette
1,57,Pooled,-9,.5277347305389222,Fayette
1,57,Hispanic,-9,.5223500000000001,Fayette
1,57,Pooled,50,.4942339441930619,Fayette
1,57,White,75,.2977,Fayette
1,57,Black,50,.7569,Fayette
1,59,AIAN,75,.3112,Franklin
1,59,Pooled,75,.3884814634146341,Franklin
1,59,Pooled,-9,.5288362204724409,Franklin
1,59,Black,25,.7565,Franklin
1,59,Hispanic,25,.6118,Franklin
1,59,White,50,.50335,Franklin
1,59,Pooled,25,.6237957095709571,Franklin
1,59,AIAN,25,.6666,Franklin
1,59,White,25,.6271,Franklin
1,59,Hispanic,-9,.5927,Franklin
1,59,AIAN,-9,.4888999999999999,Franklin
1,59,Pooled,50,.5061385864927956,Franklin
1,59,Black,50,.6499999999999999,Franklin
1,59,Asian,-9,.29235,Franklin
1,59,Asian,75,.2487,Franklin
1,59,Asian,50,.29235,Franklin
1,59,AIAN,50,.4889,Franklin
1,59,Black,-9,.65,Franklin
1,59,White,-9,.5310383561643836,Franklin
1,59,White,75,.3796,Franklin
1,59,Hispanic,50,.5927,Franklin
1,59,Hispanic,75,.5736,Franklin
1,59,Asian,25,.336,Franklin
1,59,Black,75,.5435,Franklin
1,61,White,75,.3188,Geneva
